Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21575624k free), swap 35582860k(13904620k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-01-22T21:47:54.344+0800: 46.349: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155079K->23495K(502784K), 0.0012348 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:54.858+0800: 46.863: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155079K->23503K(502784K), 0.0012373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:55.370+0800: 47.375: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155087K->23567K(502784K), 0.0010513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:55.876+0800: 47.881: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155151K->23567K(502784K), 0.0011528 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:56.384+0800: 48.389: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155151K->23567K(502784K), 0.0009233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:56.902+0800: 48.907: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155151K->23567K(502784K), 0.0009657 secs] [Times: user=0.17 sys=0.02, real=0.00 secs] 
2021-01-22T21:47:57.400+0800: 49.405: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 155151K->23567K(502784K), 0.0010338 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:57.903+0800: 49.907: [GC (Allocation Failure) [PSYoungGen: 131967K->384K(153088K)] 155151K->23567K(502784K), 0.0011348 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:58.404+0800: 50.409: [GC (Allocation Failure) [PSYoungGen: 131968K->416K(153088K)] 155151K->23599K(502784K), 0.0010184 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:58.904+0800: 50.909: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0010777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:59.399+0800: 51.404: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0012583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:47:59.932+0800: 51.937: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0011563 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:00.439+0800: 52.444: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0012898 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:00.935+0800: 52.940: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0010692 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:01.446+0800: 53.451: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0010900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:01.949+0800: 53.953: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0013423 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:02.448+0800: 54.454: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23599K(502784K), 0.0010745 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:02.957+0800: 54.962: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155183K->23607K(502784K), 0.0010482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:03.452+0800: 55.456: [GC (Allocation Failure) [PSYoungGen: 132000K->384K(153088K)] 155191K->23575K(502784K), 0.0010340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:03.955+0800: 55.961: [GC (Allocation Failure) [PSYoungGen: 131968K->416K(153088K)] 155159K->23631K(502784K), 0.0010655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:04.456+0800: 56.461: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155215K->23679K(502784K), 0.0012084 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:04.961+0800: 56.965: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155263K->23679K(502784K), 0.0009980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:05.462+0800: 57.468: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155263K->23679K(502784K), 0.0008917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:48:05.984+0800: 57.989: [GC (Allocation Failure) [PSYoungGen: 132000K->416K(153088K)] 155263K->23679K(502784K), 0.0012921 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
