Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21565300k free), swap 35582860k(14120676k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2021-01-22T21:36:40.581+0800: 51.283: [GC (Allocation Failure) 2021-01-22T21:36:40.581+0800: 51.283: [DefNew: 139834K->62K(157248K), 0.0014716 secs] 168842K->29070K(506816K), 0.0015207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:41.110+0800: 51.812: [GC (Allocation Failure) 2021-01-22T21:36:41.110+0800: 51.812: [DefNew: 139838K->49K(157248K), 0.0014125 secs] 168846K->29056K(506816K), 0.0014575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:41.662+0800: 52.365: [GC (Allocation Failure) 2021-01-22T21:36:41.662+0800: 52.365: [DefNew: 139825K->48K(157248K), 0.0015040 secs] 168832K->29057K(506816K), 0.0015485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:42.190+0800: 52.892: [GC (Allocation Failure) 2021-01-22T21:36:42.190+0800: 52.892: [DefNew: 139824K->40K(157248K), 0.0013753 secs] 168833K->29058K(506816K), 0.0014128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:42.746+0800: 53.448: [GC (Allocation Failure) 2021-01-22T21:36:42.746+0800: 53.448: [DefNew: 139816K->48K(157248K), 0.0015463 secs] 168834K->29065K(506816K), 0.0015853 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:43.271+0800: 53.973: [GC (Allocation Failure) 2021-01-22T21:36:43.271+0800: 53.973: [DefNew: 139824K->39K(157248K), 0.0013162 secs] 168841K->29057K(506816K), 0.0013554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:43.812+0800: 54.515: [GC (Allocation Failure) 2021-01-22T21:36:43.812+0800: 54.515: [DefNew: 139815K->42K(157248K), 0.0020406 secs] 168833K->29060K(506816K), 0.0020957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:44.375+0800: 55.078: [GC (Allocation Failure) 2021-01-22T21:36:44.375+0800: 55.078: [DefNew: 139818K->40K(157248K), 0.0021232 secs] 168836K->29058K(506816K), 0.0021605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:44.928+0800: 55.631: [GC (Allocation Failure) 2021-01-22T21:36:44.928+0800: 55.631: [DefNew: 139816K->52K(157248K), 0.0017100 secs] 168834K->29070K(506816K), 0.0017485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:45.472+0800: 56.174: [GC (Allocation Failure) 2021-01-22T21:36:45.472+0800: 56.174: [DefNew: 139828K->52K(157248K), 0.0013677 secs] 168846K->29070K(506816K), 0.0014097 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:46.019+0800: 56.722: [GC (Allocation Failure) 2021-01-22T21:36:46.019+0800: 56.722: [DefNew: 139828K->40K(157248K), 0.0015118 secs] 168846K->29058K(506816K), 0.0015488 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
